Position,Name,Capacity (MW),Operational Units,Region,Country,Coordinates,Latitude,Longitude,Status,Construction ,Commission,Est. Project Cost,Developer,Operator,Owner,Turbine Manufacturer ,Notes,Contact,Position2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Borkum Riffgrund II,346,96,North Sea,Germany,"53° 58′ 0″ N, 6° 33′ 0″E",53.956,6.496,Planned/Under Construction,2016,2019,€1.3bn,DONG Energy,,DONG Energy,Vestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Galloper Wind Farm,336,56,Suffolk,UK,51°52′48″N 1°56′24″E,51.892,2.034,Planned/Under Construction,2015,2018,£1.5bn,RWE Innogy; UK Green Investment Bank; Siemens Financial Services; Macquarie Capital,,RWE Innogy; UK Green Investment Bank; Siemens Financial Services; Macquarie Capital,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Nordsee One,332,54,North Sea,Germany,53.979°N 6.814°E,53.979,6.814,Planned/Under Construction,2015,2017,€1.2bn,RWE Innogy; Northland Power Inc.,,RWE Innogy; Northland Power Inc.,REpower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Oriel Wind Farm,330,55,"Dundalk, Irish Sea",Ireland,53.918°N 6.068°W,53.918,-6.064,Planned/Under Construction,,2017,€950m,Oriel Windfarm Ltd,Oriel Windfarm Ltd,Oriel Windfarm Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,OWP West,328,45,North Sea,Germany,,54.030,6.159,Planned/Under Construction,,N/A,,Northern Energy OWP West Gmbh,Northern Energy OWP West Gmbh,DONG Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Thornton Bank Wind Farm,325,54,Vlaanderen,Belgium,51.54548°N 2.92978°E,51.54548,2.92978,Operational,,2013,€1.3bn,C-Power,C-Power,EDF Energy Renewables; DEME NV; Societe Regionale d'Investissement de Wallonie; Socofe; Nuhma; RWE Innogy; Marguerite Fund,REpower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Sheringham Shoal Wind Farm,317,88,North Norfolk,UK,53.135°N 1.147°E,53.135,1.147,Operational,2009,2012,€1.7bn,"Scira Offshore Energy Ltd  (Statoil, UK Green Investment Bank, Statkraft)","Scira Offshore Energy Ltd  (Statoil, UK Green Investment Bank, Statkraft)","Scira Offshore Energy Ltd  (Statoil, UK Green Investment Bank, Statkraft)",Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Borkum Riffgrund I,312,77,North Sea,Germany,"53° 58′ 0″ N, 6° 33′ 0″E",53.967,6.554,Operational,2013,2015,€1.25bn,DONG Energy,DONG Energy; Kirkbi A/S & William Demant Holding A/S,DONG Energy; Kirkbi A/S & William Demant Holding A/S,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Rentel Wind Farm,309,42,North Sea,Belgium,"51°35′28″N, 2°56′38″E",51.591,2.944,Planned/Under Construction,2017,2018,€1.25bn,Rentel NV,,Electrawinds Offshore NV; Rent-A-Port Energy n.v.; Otary RS NV; Aspiravi Offshore NV; Power@Sea; DEME NV; SRIW Environment; Socofe; Z-kracht,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Thanet Wind Farm,300,100,"Thanet, Kent",UK,51.4306°N 1.6331°E,51.4306,1.6331,Operational,,2010,£900m,Vattenfall, Thanet Offshore Wind Ltd,Vattenfall,Vestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Taggen Vindpark,300,60,Kristianstad,Sweden,,55.862,14.566,Planned/Under Construction,2017,2019,,Taggen Vindpark AB,Taggen Windpark AB,Vattenfall; Hanöbukten Offshore AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Nordsee-Ost ,295,48,North Sea,Germany,54°26′24″N 7°40′48″E,54.444,7.682,Operational,,2015,€1.3bn,RWE Innogy,RWE Innogy,RWE Innogy,REpower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Amrumbank West,288,80,North Sea,Germany,54°30′N 7°48′E,54.523,7.705,Operational,2013,2015,€1bn,E.ON Climate & Renewables,E.ON Climate & Renewables,E.ON Climate & Renewables,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
